"index","d__Bacteria;p__Armatimonadota","d__Bacteria;p__Firmicutes","d__Bacteria;p__Proteobacteria","d__Bacteria;p__Planctomycetota","d__Bacteria;p__Actinobacteriota","d__Bacteria;p__Bacteroidota","Unassigned;__","d__Bacteria;p__Patescibacteria","d__Bacteria;p__Bdellovibrionota","d__Bacteria;p__Acidobacteriota","d__Bacteria;p__Gemmatimonadota","d__Bacteria;p__Verrucomicrobiota","d__Bacteria;p__Cyanobacteria","d__Bacteria;__","d__Bacteria;p__Myxococcota","d__Bacteria;p__Desulfobacterota","d__Bacteria;p__Deferribacterota","d__Bacteria;p__Chloroflexi","d__Bacteria;p__Margulisbacteria","d__Bacteria;p__Synergistota","d__Bacteria;p__Campilobacterota","d__Bacteria;p__Dependentiae","d__Bacteria;p__uncultured","d__Bacteria;p__Deinococcota","d__Bacteria;p__Fusobacteriota","d__Bacteria;p__Halanaerobiaeota","d__Bacteria;p__Methylomirabilota","d__Bacteria;p__Nitrospirota","d__Bacteria;p__Abditibacteriota","d__Bacteria;p__Caldatribacteriota","d__Bacteria;p__Latescibacterota","d__Bacteria;p__Rs-K70_termite_group","d__Bacteria;p__Elusimicrobiota","d__Bacteria;p__Thermotogota","d__Bacteria;p__Spirochaetota","d__Bacteria;p__WPS-2","d__Bacteria;p__Cloacimonadota","d__Bacteria;p__Fibrobacterota","d__Bacteria;p__RCP2-54","bio_or_control","category_broad","category_specific","bird_id","bird_sex","bird_age","capture_date","num_mites_fm","num_mites_m","mite_sp_fm","mite_sp_m"
"PF11",0,438,24023,174,944,1069,182,50,1100,214,49,279,66,560,0,7,0,250,0,0,0,19,0,0,0,0,0,0,5,0,0,0,14,0,0,0,0,0,0,"biological","feather","feather","Dolly","Female","ASY","5/6/21",93,"na","Amerodectes","na"
"PM12",0,80,11204,0,930,2544,0,72,182,121,0,695,0,710,0,0,0,0,0,0,639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"biological","mites","mites","Shania","Female","ASY","5/6/21",41,41,"Amerodectes","Amerodectes"
"PF12",100,283,4773,43,1795,1335,41,9,326,13,32,42,69,66,223,0,0,27,0,0,0,0,0,6,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,"biological","feather","feather","Shania","Female","ASY","5/6/21",41,"na","Amerodectes","na"
"PM13",0,881,11256,9,37,2921,13,77,0,0,0,0,31,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,0,0,0,0,"biological","mites","mites","Patsy","Female","SY","5/6/21",33,33,"Amerodectes and Proctophyllodes","Amerodectes and Proctophyllodes"
"PF13",2,0,446,0,7,126,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"biological","feather","feather","Patsy","Female","SY","5/6/21",33,"na","Amerodectes and Proctophyllodes","na"
"PM14",0,82,2571,281,55,178,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"biological","mites","mites","Reba","Female","SY","5/6/21",267,267,"Amerodectes","Amerodectes"
"PF14",0,0,240,0,8,25,0,0,0,5,0,3,10,0,0,0,0,0,0,0,0,0,0,8,35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"biological","feather","feather","Reba","Female","SY","5/6/21",267,"na","Amerodectes","na"
"PF15",0,11,2,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"biological","feather","feather","DeAnthony","Male","SY","5/12/21",0,0,"na","na"
"PM16",0,59,16598,0,227,40,54,33,0,0,0,377,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"biological","mites","mites","Lucinda","Female","ASY","5/6/21",35,35,"Amerodectes","Amerodectes"
"PF16",96,607,6444,267,4631,708,0,66,204,201,0,169,0,744,95,0,0,303,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"biological","feather","feather","Lucinda","Female","ASY","5/6/21",35,"na","Amerodectes","na"
