sample-id,bio_or_control,category_broad,category_specific,bird_id,shannon_1451,observed_features_1451,RPCA_pc1_0_16S,RPCA_pc2_0_16S,RPCA_pc1_1451,RPCA_pc2_1451,shannon_995,observed_features_995,RPCA_pc1_0_ITS,RPCA_pc2_0_ITS,RPCA_pc1_995,RPCA_pc2_995
PF23,biological,feather,feather,Martina,4.50190164336397,43,0.073679668,-0.066901433,0.087858008,0.045355209,4.26736350966903,71,-0.03563437924405,0.105482819084207,-0.063010645406155,0.012402267765412
PM24,biological,mites,mites,Yellow B,na,na,0.126021229,-0.061687646,na,na,3.77360906053931,18,-0.026148995422061,-0.048491313962657,-0.029193139541156,-0.084888100450976
PF24,biological,feather,feather,Yellow B,3.8093990070668,31,0.146399896,-0.071497712,0.177988538,0.04890951,5.5477728630937,128,-0.107719941481325,0.284627213571626,-0.18330849368839,0.11496055273277
PM25,biological,mites,mites,Tony,5.82102092888855,70,-0.083479823,0.01517003,-0.076671863,-0.009402352,2.66289658851879,17,-0.024016318449741,-0.006433200317185,-0.035099755007649,-0.057270948463545
PF25,biological,feather,feather,Tony,na,na,0.017256944,0.023699166,na,na,na,na,-0.047798160085735,-0.10111605674284,na,na
WASH25,control,control,wash_control,wash_control,na,na,na,na,na,na,na,na,na,na,na,na
AKC03,control,control,area_control,area_control,na,na,na,na,na,na,na,na,na,na,na,na
KITB01,control,control,kit_control,kit_control,na,na,na,na,na,na,na,na,na,na,na,na
PM26,biological,mites,mites,Tyus,3.08188127474096,44,0.023124609,-0.198379953,0.042563248,0.137641912,3.31553500657245,19,-0.029256779075631,-0.019553844789469,-0.036483471629159,-0.065978371422673
PF26,biological,feather,feather,Tyus,5.50721881790709,149,-0.074195408,0.165954132,-0.102979816,-0.185425597,5.56582866061854,166,0.076292419804617,0.212870237564981,-0.016491380455112,0.09441588762212
PM27,biological,mites,mites,Grayson,1.214761684717,30,0.190132002,-0.2786041,0.201658666,0.191658711,4.63702311248884,60,0.007167296048896,0.07681669700896,-0.034379683195762,-0.001179815367385
PF27,biological,feather,feather,Grayson,3.77330521504442,151,0.256107253,-0.26163769,0.274264311,0.245808073,5.63167459455867,193,0.122798547124503,0.260319155873142,0.02251446090523,0.202344978037348
PM28,biological,mites,mites,Matt Foley,4.67634215455815,45,-0.136483093,-0.060452491,-0.107121954,0.051537149,na,na,-0.042979948472794,-0.096500114267935,na,na
PF28,biological,feather,feather,Matt Foley,na,na,0.032271234,0.049582992,na,na,4.93900627573073,106,0.091884262785047,0.140105302899962,0.013431541309525,0.060121690731385
PM29,biological,mites,mites,Kayce,na,na,-0.004752692,-0.013680661,na,na,na,na,-0.046899142536271,-0.096911739205566,na,na
PF29,biological,feather,feather,Kayce,5.90458310780343,119,0.25993254,-0.144261834,0.280161976,0.10783527,5.8633091408554,219,-0.000149557311316,0.308318335126949,-0.092660881917852,0.230556572010205
PM30,biological,mites,mites,Trisha,na,na,-0.132943243,0.029865462,na,na,4.23375686917134,46,-0.066469320133113,0.126455993557934,-0.098886916644264,0.027902018166969
PF30,biological,feather,feather,Trisha,5.56700482155985,70,-0.096277093,-0.007087849,-0.081400844,0.022364787,na,na,-0.047798160085736,-0.10111605674284,na,na
KITB02,control,control,kit_control,kit_control,na,na,na,na,na,na,na,na,na,na,na,na
AKC04,control,control,area_control,area_control,na,na,na,na,na,na,na,na,na,na,na,na
WASH26,control,control,wash_control,wash_control,na,na,na,na,na,na,na,na,na,na,na,na
PCR1Blank1,control,control,pcr_control,pcr_control,na,na,na,na,na,na,na,na,na,na,na,na
PCR1Blank2,control,control,pcr_control,pcr_control,na,na,na,na,na,na,na,na,na,na,na,na
