,"ASV","mean.vs","sd.vs","n.vs","se.vs","lower.ci.vs","upper.ci.vs","electivity_category"
"128","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Phaeosphaeriaceae.g__Paraphoma",-1,0,20,0,-1,-1,"against"
"129","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Phaeosphaeriaceae.g__Parastagonospora",-1,0,20,0,-1,-1,"against"
"130","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Phaeosphaeriaceae.g__Phaeosphaeria",-1,0,20,0,-1,-1,"against"
"131","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Phaeosphaeriaceae.g__Sclerostagonospora",-0.779882963699727,0.660351108900818,20,0.14765899685196,-1.08893679596068,-0.470829131438775,"against"
"132","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Phaeosphaeriaceae.g__Septoriella",-1,0,20,0,-1,-1,"against"
"133","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Phaeosphaeriaceae.g__Setophaeosphaeria",-0.84303436023762,0.543744926221991,20,0.121585061745298,-1.09751481912725,-0.588553901347992,"against"
"134","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Phaeosphaeriaceae.g__Setophoma",-1,0,20,0,-1,-1,"against"
"135","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Phaeosphaeriaceae.g__Wojnowiciella",-1,0,20,0,-1,-1,"against"
"136","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Pleomassariaceae.g__Prosthemium",-1,0,20,0,-1,-1,"against"
"137","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Pleosporaceae.g__Alternaria",-0.082633650499073,0.996238665340402,20,0.22276573775148,-0.548887698110934,0.383620397112789,"neutral"
"138","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Pleosporaceae.g__Curvularia",-1,0,20,0,-1,-1,"against"
