,"ASV","mean.vs","sd.vs","n.vs","se.vs","lower.ci.vs","upper.ci.vs","electivity_category"
"252","k__Fungi.p__Ascomycota.c__Orbiliomycetes.o__Orbiliales.f__Orbiliaceae.g__Arthrobotrys",-1,"NA",20,"NA","NA","NA","against"
"253","k__Fungi.p__Ascomycota.c__Orbiliomycetes.o__Orbiliales.f__Orbiliaceae.g__Dactylaria",-1,"NA",20,"NA","NA","NA","against"
"254","k__Fungi.p__Ascomycota.c__Orbiliomycetes.o__Orbiliales.f__Orbiliaceae.g__Hyalorbilia",-1,"NA",20,"NA","NA","NA","against"
"255","k__Fungi.p__Ascomycota.c__Orbiliomycetes.o__Orbiliales.f__Orbiliaceae.g__Mycoceros",-1,"NA",20,"NA","NA","NA","against"
"256","k__Fungi.p__Ascomycota.c__Orbiliomycetes.o__Orbiliales.f__Orbiliaceae.g__Orbilia",-1,0,20,0,-1,-1,"against"
"257","k__Fungi.p__Ascomycota.c__Orbiliomycetes.o__Orbiliales.f__Orbiliaceae.g__Retiarius",-1,"NA",20,"NA","NA","NA","against"
"258","k__Fungi.p__Ascomycota.c__Pezizomycetes.o__Pezizales.f__Helvellaceae.g__Helvella",-1,"NA",20,"NA","NA","NA","against"
"259","k__Fungi.p__Ascomycota.c__Pezizomycetes.o__Pezizales.f__Pezizaceae.g__Pachyphlodes",-1,0,20,0,-1,-1,"against"
"260","k__Fungi.p__Ascomycota.c__Pezizomycetes.o__Pezizales.f__Pezizales_fam_Incertae_sedis.g__Trichobolus","NA","NA",20,"NA","NA","NA","against"
"261","k__Fungi.p__Ascomycota.c__Pezizomycetes.o__Pezizales.f__Sarcosomataceae.g__Urnula",-1,"NA",20,"NA","NA","NA","against"
"262","k__Fungi.p__Ascomycota.c__Pezizomycotina_cls_Incertae_sedis.o__Pezizomycotina_ord_Incertae_sedis.f__Pezizomycotina_fam_Incertae_sedis.g__Digitopodium",-1,0,20,0,-1,-1,"against"
"263","k__Fungi.p__Ascomycota.c__Pezizomycotina_cls_Incertae_sedis.o__Pezizomycotina_ord_Incertae_sedis.f__Pezizomycotina_fam_Incertae_sedis.g__Hymenella",-1,0,20,0,-1,-1,"against"
"264","k__Fungi.p__Ascomycota.c__Pezizomycotina_cls_Incertae_sedis.o__Pezizomycotina_ord_Incertae_sedis.f__Pezizomycotina_fam_Incertae_sedis.g__Lylea","NA","NA",20,"NA","NA","NA","against"
"265","k__Fungi.p__Ascomycota.c__Pezizomycotina_cls_Incertae_sedis.o__Pezizomycotina_ord_Incertae_sedis.f__Pezizomycotina_fam_Incertae_sedis.g__Tricellula",-1,"NA",20,"NA","NA","NA","against"
"266","k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Debaryomycetaceae.g__Meyerozyma",-1,0,20,0,-1,-1,"against"
"267","k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Dipodascaceae.g__Sporopachydermia",-0.202483078624342,1.09204542027938,20,0.244188779426203,-0.713576067779989,0.308609910531305,"neutral"
"268","k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Phaffomycetaceae.g__Barnettozyma",-1,"NA",20,"NA","NA","NA","against"
"269","k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Phaffomycetaceae.g__Cyberlindnera","NA","NA",20,"NA","NA","NA","against"
"270","k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Phaffomycetaceae.g__Wickerhamomyces",-1,"NA",20,"NA","NA","NA","against"
"271","k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycetaceae.g__Kluyveromyces",-0.005318781514401,1.40669166942013,20,0.314545819620607,-0.663670748193909,0.653033185165107,"neutral"
"272","k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycetaceae.g__Saccharomyces",-1,"NA",20,"NA","NA","NA","against"
"273","k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycetales_fam_Incertae_sedis.g__Candida",0.23899246077768,1.02607922778257,20,0.229438290362232,-0.24122739995279,0.719212321508149,"neutral"
"274","k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycodaceae.g__Hanseniaspora",-1,"NA",20,"NA","NA","NA","against"
"275","k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Trichomonascaceae.g__Blastobotrys","NA","NA",20,"NA","NA","NA","against"
"276","k__Fungi.p__Ascomycota.c__Sareomycetes.o__Sareales.f__Sareaceae.g__Sarea",-1,0,20,0,-1,-1,"against"
"277","k__Fungi.p__Ascomycota.c__Schizosaccharomycetes.o__Schizosaccharomycetales.f__Schizosaccharomycetaceae.g__Hasegawaea",-1,0,20,0,-1,-1,"against"
"278","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Amphisphaeriales.f__Discosiaceae.g__Discosia",-1,0,20,0,-1,-1,"against"
"279","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Amphisphaeriales.f__Pestalotiopsidaceae.g__Neopestalotiopsis",-1,0,20,0,-1,-1,"against"
"280","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Amphisphaeriales.f__Pestalotiopsidaceae.g__Pestalotiopsis",-0.775633383189552,0.574559298564317,20,0.128475364869441,-1.04453541226018,-0.506731354118928,"against"
"281","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Chaetosphaeriales.f__Chaetosphaeriaceae.g__Codinaeella",-1,0,20,0,-1,-1,"against"
"282","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Chaetosphaeriales.f__Chaetosphaeriaceae.g__Pseudodinemasporium",-1,"NA",20,"NA","NA","NA","against"
"283","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Chaetosphaeriales.f__Chaetosphaeriales_fam_Incertae_sedis.g__Dendrophoma",-1,0,20,0,-1,-1,"against"
"284","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Delonicicolales.f__Delonicicolaceae.g__Furfurella",-1,"NA",20,"NA","NA","NA","against"
"285","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Diaporthales.f__Cryphonectriaceae.g__Aurantiosacculus",-1,"NA",20,"NA","NA","NA","against"
"286","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Diaporthales.f__Diaporthaceae.g__Diaporthe",-0.753343049827264,0.652145137169253,20,0.145824085790638,-1.05855636909917,-0.448129730555359,"against"
"287","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Diaporthales.f__Diaporthaceae.g__Phomopsis",-0.065222780991145,1.32197462091973,20,0.295602511690603,-0.68392594850309,0.553480386520801,"neutral"
"288","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Diaporthales.f__Diaporthales_fam_Incertae_sedis.g__Sirococcus",-1,0,20,0,-1,-1,"against"
"289","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Diaporthales.f__Erythrogloeaceae.g__Dendrostoma",-0.654500347674932,0.772560708801395,20,0.172749826162534,-1.01606988922797,-0.292930806121895,"against"
"290","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Diaporthales.f__Gnomoniaceae.g__Ambarignomonia",-1,0,20,0,-1,-1,"against"
"291","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Diaporthales.f__Gnomoniaceae.g__Gnomoniopsis",-1,0,20,0,-1,-1,"against"
"292","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Diaporthales.f__Gnomoniaceae.g__Ophiognomonia",-1,0,20,0,-1,-1,"against"
"293","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Diaporthales.f__Gnomoniaceae.g__Plagiostoma",-1,0,20,0,-1,-1,"against"
"294","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Diaporthales.f__Harknessiaceae.g__Harknessia",-1,"NA",20,"NA","NA","NA","against"
"295","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Diaporthales.f__Melanconidaceae.g__Melanconiella","NA","NA",20,"NA","NA","NA","against"
"296","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Diaporthales.f__Melanconidaceae.g__Melanconium",-1,"NA",20,"NA","NA","NA","against"
"297","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Diaporthales.f__Schizoparmaceae.g__Coniella",-1,0,20,0,-1,-1,"against"
"298","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Diaporthales.f__Tubakiaceae.g__Tubakia",-0.641742270325581,0.797119723248179,20,0.178241388738875,-1.01480578444719,-0.268678756203974,"against"
"299","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Diaporthales.f__Valsaceae.g__Cytospora",-1,0,20,0,-1,-1,"against"
"300","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Distoseptisporales.f__Distoseptisporaceae.g__Distoseptispora",-1,"NA",20,"NA","NA","NA","against"
"301","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Glomerellales.f__Glomerellaceae.g__Colletotrichum",-1,0,20,0,-1,-1,"against"
"302","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Glomerellales.f__Plectosphaerellaceae.g__Brunneomyces",-1,0,20,0,-1,-1,"against"
"303","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Glomerellales.f__Plectosphaerellaceae.g__Furcasterigmium",-1,0,20,0,-1,-1,"against"
"304","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Glomerellales.f__Plectosphaerellaceae.g__Plectosphaerella",-1,0,20,0,-1,-1,"against"
"305","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Glomerellales.f__Plectosphaerellaceae.g__Stachylidium",-1,0,20,0,-1,-1,"against"
"306","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Bionectriaceae.g__Caespitomonium",-1,0,20,0,-1,-1,"against"
"307","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Bionectriaceae.g__Clonostachys",-1,"NA",20,"NA","NA","NA","against"
"308","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Bionectriaceae.g__Stilbocrea",-1,0,20,0,-1,-1,"against"
"309","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Clavicipitaceae.g__Claviceps",-1,0,20,0,-1,-1,"against"
"310","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Clavicipitaceae.g__Metarhizium",-1,0,20,0,-1,-1,"against"
"311","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Clavicipitaceae.g__Ustilaginoidea",-1,0,20,0,-1,-1,"against"
"312","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Cordycipitaceae.g__Akanthomyces",-1,"NA",20,"NA","NA","NA","against"
"313","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Cordycipitaceae.g__Beauveria",-0.01558335893805,1.39217536481558,20,0.31129987523282,-0.667141485934647,0.635974768058547,"neutral"
"314","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Cordycipitaceae.g__Gibellula",-1,"NA",20,"NA","NA","NA","against"
"315","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Cordycipitaceae.g__Samsoniella",-1,0,20,0,-1,-1,"against"
"316","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Cordycipitaceae.g__Simplicillium",-1,"NA",20,"NA","NA","NA","against"
"317","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Cylindriaceae.g__Cylindrium",-1,0,20,0,-1,-1,"against"
"318","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Hypocreaceae.g__Sphaerostilbella",-1,"NA",20,"NA","NA","NA","against"
"319","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Hypocreaceae.g__Trichoderma",-0.21388106532892,1.07651978314809,20,0.240717141424246,-0.717707832638273,0.289945701980433,"neutral"
"320","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Hypocreales_fam_Incertae_sedis.g__Acremonium",-1,0,20,0,-1,-1,"against"
"321","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Hypocreales_fam_Incertae_sedis.g__Barbatosphaeria",-1,"NA",20,"NA","NA","NA","against"
"322","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Hypocreales_fam_Incertae_sedis.g__Sarocladium",-0.432744575574134,0.968774896860991,20,0.216624652427652,-0.886145183883049,0.020656032734782,"neutral"
"323","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Hypocreales_fam_Incertae_sedis.g__Sporidesmium",-1,0,20,0,-1,-1,"against"
"324","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Hypocreales_fam_Incertae_sedis.g__Trichothecium","NA","NA",20,"NA","NA","NA","against"
"325","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Cosmospora",-1,"NA",20,"NA","NA","NA","against"
"326","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Fusarium",-0.16080982613176,1.00565195577165,20,0.224870613481101,-0.631469429277258,0.309849777013738,"neutral"
"327","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Fusicolla",-1,"NA",20,"NA","NA","NA","against"
"328","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Microcera",-1,0,20,0,-1,-1,"against"
"329","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Nectria",-1,"NA",20,"NA","NA","NA","against"
"330","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Neocosmospora","NA","NA",20,"NA","NA","NA","against"
"331","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Pseudocosmospora",-1,"NA",20,"NA","NA","NA","against"
"332","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Sarcopodium",-1,"NA",20,"NA","NA","NA","against"
"333","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Stephanonectria",-1,"NA",20,"NA","NA","NA","against"
"334","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Thyronectria",-1,"NA",20,"NA","NA","NA","against"
"335","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Niessliaceae.g__Niesslia",-1,"NA",20,"NA","NA","NA","against"
"336","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Ophiocordycipitaceae.g__Hirsutella",-1,"NA",20,"NA","NA","NA","against"
"337","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Ophiocordycipitaceae.g__Paraisaria","NA","NA",20,"NA","NA","NA","against"
"338","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Ophiocordycipitaceae.g__Purpureocillium",-1,"NA",20,"NA","NA","NA","against"
"339","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Ophiocordycipitaceae.g__Tolypocladium","NA","NA",20,"NA","NA","NA","against"
"340","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Stachybotryaceae.g__Albifimbria",-1,"NA",20,"NA","NA","NA","against"
"341","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Stachybotryaceae.g__Alfaria",-0.771452665008839,0.511047377116651,20,0.11427366749558,-1.01063019986255,-0.532275130155133,"against"
"342","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Stachybotryaceae.g__Myxospora",-1,0,20,0,-1,-1,"against"
"343","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Magnaporthales.f__Magnaporthaceae.g__Arxiella",-1,0,20,0,-1,-1,"against"
"344","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Microascales.f__Microascaceae.g__Canariomyces","NA","NA",20,"NA","NA","NA","against"
"345","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Myrmecridiales.f__Myrmecridiaceae.g__Myrmecridium",-1,0,20,0,-1,-1,"against"
"346","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Myrmecridiales.f__Myrmecridiaceae.g__Neomyrmecridium",-1,0,20,0,-1,-1,"against"
"347","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Phomatosporales.f__Phomatosporaceae.g__Phomatospora",-1,"NA",20,"NA","NA","NA","against"
"348","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Pleurotheciales.f__Pleurotheciaceae.g__Phaeoisaria",-1,"NA",20,"NA","NA","NA","against"
"349","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Pleurotheciales.f__Pleurotheciaceae.g__Pleurotheciella",-1,"NA",20,"NA","NA","NA","against"
"350","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Cephalothecaceae.g__Cephalotheca",-1,0,20,0,-1,-1,"against"
"351","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Cephalothecaceae.g__Phialemonium",-1,0,20,0,-1,-1,"against"
"352","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Chaetomiaceae.g__Chaetomium","NA","NA",20,"NA","NA","NA","against"
"353","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Chaetomiaceae.g__Humicola",-1,"NA",20,"NA","NA","NA","against"
"354","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Helminthosphaeriaceae.g__Spadicoides",-1,"NA",20,"NA","NA","NA","against"
"355","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Podosporaceae.g__Cladorrhinum","NA","NA",20,"NA","NA","NA","against"
"356","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Sordariales_fam_Incertae_sedis.g__Neoeriomycopsis",-1,0,20,0,-1,-1,"against"
"357","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariomycetes_ord_Incertae_sedis.f__Sordariomycetes_fam_Incertae_sedis.g__Rhamphoria",-1,"NA",20,"NA","NA","NA","against"
"358","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariomycetidae_ord_Incertae_sedis.f__Rhamphoriaceae.g__Rhodoveronaea",-1,"NA",20,"NA","NA","NA","against"
"359","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Thyridiales.f__Thyridiaceae.g__Thyridium",-0.858203672688248,0.511253928794998,20,0.114319853854945,-1.09747787670309,-0.618929468673405,"against"
"360","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Togniniales.f__Togniniaceae.g__Phaeoacremonium",-1,0,20,0,-1,-1,"against"
"361","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Trichosphaeriales.f__Trichosphaeriaceae.g__Nigrospora",-1,"NA",20,"NA","NA","NA","against"
"362","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Amphisphaeriaceae.g__Funiliomyces",-1,"NA",20,"NA","NA","NA","against"
"363","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Amphisphaeriaceae.g__Microdochium",-1,0,20,0,-1,-1,"against"
"364","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Amphisphaeriaceae.g__Monochaetia",-1,"NA",20,"NA","NA","NA","against"
"365","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Apiosporaceae.g__Apiospora",-1,0,20,0,-1,-1,"against"
"366","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Bartaliniaceae.g__Bartalinia","NA","NA",20,"NA","NA","NA","against"
"367","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Beltraniaceae.g__Beltrania","NA","NA",20,"NA","NA","NA","against"
"368","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Castanediellaceae.g__Castanediella",-1,0,20,0,-1,-1,"against"
"369","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Diatrypaceae.g__Diatrype",-1,0,20,0,-1,-1,"against"
"370","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Diatrypaceae.g__Diatrypella",-1,0,20,0,-1,-1,"against"
"371","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Diatrypaceae.g__Eutypella",-1,0,20,0,-1,-1,"against"
"372","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Diatrypaceae.g__Peroneutypa",-1,"NA",20,"NA","NA","NA","against"
"373","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Graphostromataceae.g__Biscogniauxia",-1,0,20,0,-1,-1,"against"
"374","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Hypoxylaceae.g__Daldinia",-1,"NA",20,"NA","NA","NA","against"
"375","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Hypoxylaceae.g__Hypoxylon",-1,0,20,0,-1,-1,"against"
"376","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Leptosilliaceae.g__Leptosillia","NA","NA",20,"NA","NA","NA","against"
"377","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Lopadostomataceae.g__Lopadostoma",-1,0,20,0,-1,-1,"against"
"378","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Sporocadaceae.g__Heterotruncatella",-1,"NA",20,"NA","NA","NA","against"
"379","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Sporocadaceae.g__Pseudopestalotiopsis","NA","NA",20,"NA","NA","NA","against"
"380","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Sporocadaceae.g__Seiridium",-1,0,20,0,-1,-1,"against"
"381","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Xylariaceae.g__Annulohypoxylon",-1,0,20,0,-1,-1,"against"
"382","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Xylariaceae.g__Camillea",-1,0,20,0,-1,-1,"against"
"383","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Xylariaceae.g__Clypeosphaeria",-1,"NA",20,"NA","NA","NA","against"
"384","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Xylariaceae.g__Kretzschmaria",-1,0,20,0,-1,-1,"against"
"385","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Xylariaceae.g__Nemania",-1,0,20,0,-1,-1,"against"
"386","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Xylariaceae.g__Rosellinia",-1,0,20,0,-1,-1,"against"
"387","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Xylariaceae.g__Virgaria",-1,"NA",20,"NA","NA","NA","against"
"388","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Xylariaceae.g__Xylaria",-1,0,20,0,-1,-1,"against"
"389","k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Xylariales_fam_Incertae_sedis.g__Pseudophloeospora",-1,0,20,0,-1,-1,"against"
"390","k__Fungi.p__Ascomycota.c__Taphrinomycetes.o__Taphrinales.f__Taphrinaceae.g__Taphrina",-0.807886610437911,0.591778411992582,20,0.132325675683229,-1.08484743265874,-0.53092578821708,"against"
"391","k__Fungi.p__Ascomycota.c__Xylonomycetes.o__Symbiotaphrinales.f__Symbiotaphrinaceae.g__Symbiotaphrina",-1,"NA",20,"NA","NA","NA","against"
"392","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Agaricaceae.g__Agaricus",-1,0,20,0,-1,-1,"against"
"393","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Bolbitiaceae.g__Panaeolus",-1,"NA",20,"NA","NA","NA","against"
"394","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Clavariaceae.g__Clavulinopsis",-1,"NA",20,"NA","NA","NA","against"
"395","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Crepidotaceae.g__Crepidotus",-1,"NA",20,"NA","NA","NA","against"
"396","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Entolomataceae.g__Clitopilus","NA","NA",20,"NA","NA","NA","against"
"397","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Fistulinaceae.g__Porodisculus",-1,"NA",20,"NA","NA","NA","against"
"398","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Hygrophoraceae.g__Hygrocybe",-1,"NA",20,"NA","NA","NA","against"
"399","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Hygrophoraceae.g__Hygrophorus",-1,"NA",20,"NA","NA","NA","against"
"400","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Lyophyllaceae.g__Fibulochlamys","NA","NA",20,"NA","NA","NA","against"
"401","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Omphalotaceae.g__Anthracophyllum",-1,"NA",20,"NA","NA","NA","against"
"402","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Omphalotaceae.g__Paragymnopus",-1,"NA",20,"NA","NA","NA","against"
"403","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Physalacriaceae.g__Cylindrobasidium",-1,0,20,0,-1,-1,"against"
"404","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Physalacriaceae.g__Strobilurus","NA","NA",20,"NA","NA","NA","against"
"405","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Pleurotaceae.g__Pleurotus",-1,0,20,0,-1,-1,"against"
"406","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Pluteaceae.g__Pluteus",-0.667579694245608,0.814260129238232,20,0.182074100034445,-1.04866516530245,-0.286494223188769,"against"
"407","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Psathyrellaceae.g__Coprinellus",-0.801059701898788,0.629104460392701,20,0.14067203383864,-1.0954896525056,-0.506629751291974,"against"
"408","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Psathyrellaceae.g__Coprinopsis",-1,0,20,0,-1,-1,"against"
"409","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Psathyrellaceae.g__Psathyrella",-1,0,20,0,-1,-1,"against"
"410","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Radulomycetaceae.g__Aphanobasidium","NA","NA",20,"NA","NA","NA","against"
"411","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Radulomycetaceae.g__Radulomyces",-1,"NA",20,"NA","NA","NA","against"
"412","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Schizophyllaceae.g__Schizophyllum",-1,0,20,0,-1,-1,"against"
"413","k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Strophariaceae.g__Agrocybe",-1,"NA",20,"NA","NA","NA","against"
